2voi_2	2voi_2	1.000	24	1.000	1.000	8.865E-12	51
2wwk_2	2wwk_2	1.000	97	1.000	1.000	2.193E-64	207
2wwk_2	2wp3_1	0.989	97	1.000	0.970	4.734E-62	200
2wwk_2	4c4k_1	0.309	84	0.866	0.872	8.875E-11	53
2y8t_2	2y8t_2	1.000	15	1.000	1.000	1.295E-06	36
3blh_2	3blh_2	1.000	255	1.000	1.000	1.937E-174	533
3cx7_2	3cx7_2	1.000	176	1.000	1.000	1.446E-114	356
3cx7_2	3cx8_2	1.000	176	1.000	1.000	1.446E-114	356
3wwn_2	3wwn_2	1.000	4	1.000	1.000	8.127E+00	15
4ag2_2	4ag2_2	1.000	58	1.000	1.000	7.529E-39	131
4ag2_2	4afq_2	0.864	58	1.000	0.983	1.371E-30	108
4ag2_2	5zau_1	0.810	58	1.000	0.982	5.689E-28	100
4ag2_2	1avz_2	0.810	58	1.000	0.982	5.689E-28	100
4ag2_2	1efn_1	0.758	58	1.000	0.964	3.003E-24	89
4ag2_2	3reb_2	0.607	56	0.966	0.898	1.271E-17	70
4ag2_2	1zsg_1	0.348	61	0.948	0.938	1.568E-06	39
4ag2_2	2k7a_1	0.333	56	0.931	0.889	1.076E-05	36
4ag2_2	2k79_1	0.333	56	0.931	0.889	1.076E-05	36
4bpk_2	4bpk_2	1.000	13	1.000	1.000	7.172E-05	31
4d0n_2	4d0n_2	1.000	355	1.000	1.000	5.243E-224	682
4eig_2	4eig_2	1.000	115	1.000	1.000	9.531E-74	235
4eig_2	6h16_2	0.716	118	1.000	1.000	4.036E-47	158
4eig_2	5omn_2	0.721	115	1.000	1.000	1.429E-46	157
4eig_2	5imk_1	0.699	123	0.991	1.000	1.194E-44	151
4eig_2	6her_2	0.666	123	1.000	1.000	1.638E-44	151
4eig_2	5imm_1	0.693	124	0.991	1.000	1.638E-44	151
4eig_2	4wen_2	0.666	120	1.000	1.000	3.536E-42	144
4eig_2	1op9_2	0.644	118	0.991	1.000	1.252E-41	143
4eig_2	5u4m_2	0.639	120	0.974	0.952	1.571E-40	139
4eig_2	4w6x_2	0.620	124	1.000	1.000	2.956E-40	139
4eig_2	5lhn_2	0.577	135	1.000	1.000	5.563E-40	138
4eig_2	4wem_2	0.616	120	1.000	1.000	1.047E-39	137
4eig_2	2p4a_2	0.650	120	1.000	1.000	2.703E-39	136
4eig_2	2p49_2	0.644	121	1.000	1.000	3.708E-39	136
4eig_2	4w6w_2	0.629	124	0.991	1.000	3.708E-39	136
4eig_2	6fuz_2	0.652	114	0.991	1.000	6.978E-39	135
